Name,N_cl,Rn(quadratic),Rn(cubic),Renyi relative entropy (quadratic),Renyi relative entropy (cubic),Ig,if,g1,g2,g3, IP, EA,electronegativity,Chemical potential,w,w2,Shannon,SGBP,Hardness,Expt. log KOW,Expt. Enthalphy of vap
3-Chlorobiphenyl,1,-3.13847283,-2.95957704,-2.03569645,-2.12267247,5.13574889,5155.712182,17.82470569,-76.91025879,169.0205792,0.303139,-0.00572,0.14871,-0.14871,0.0358,0.00128,69.91409,637.09491,0.308859,4.66,74.3
4-Chlorobiphenyl,1,-3.13846592,-2.95957546,-2.01649731,-2.06596308,2.91356669,5155.573881,20.03927281,-59.33957148,148.1919051,0.292157,0.002822,0.14749,-0.14749,0.03759,0.00141,69.81467,637.06127,0.289335,4.63,71.6
"2,2prime-Dichlorobiphenyl",2,-3.37503923,-3.10832699,-2.08708231,-2.14746296,4.0178056,7335.521412,19.18045882,-70.38324964,164.1925843,0.315678,-0.019824,0.147927,-0.147927,0.03261,0.00106,55.2655,740.609,0.335502,4.72,72.6
"2,3-Dichlorobiphenyl",2,-3.37504066,-3.1083314,-2.09105209,-2.16003525,4.53552049,7335.438844,20.08300447,-73.70587773,164.6415871,0.311334,-0.007351,0.151991,-0.151991,0.03625,0.00131,55.21398,740.59158,0.318685,4.99,73.4
"2,3prime-Dichlorobiphenyl",2,-3.37504231,-3.10832978,-2.09119092,-2.15927029,4.5840512,7335.655698,18.90054298,-74.10880025,167.8778325,0.310216,-0.00537,0.152423,-0.152423,0.03681,0.00135,55.29424,740.63454,0.315586,4.84,77.8
"2,4-Dichlorobiphenyl",2,-3.37504134,-3.10832929,-2.09186521,-2.16213301,4.65446046,7335.641197,19.8134884,-74.5120589,165.6496185,0.306069,-0.005353,0.150358,-0.150358,0.0363,0.00132,55.28842,740.63601,0.311422,5.15,75.4
"2,4prime-Dichlorobiphenyl",2,-3.37504011,-3.10832713,-2.09204914,-2.16264105,4.67962314,7335.640527,19.73878835,-74.62298025,165.9752906,0.304799,-0.005297,0.149751,-0.149751,0.03616,0.00131,55.28626,740.63179,0.310096,5.09,76.5
"3,3prime-Dichlorobiphenyl",2,-3.37503958,-3.10832687,-2.08135659,-2.13177235,3.20883346,7335.714669,21.16007003,-64.36637364,152.9047235,0.307964,0.003869,0.155916,-0.155916,0.03997,0.0016,55.32234,740.65414,0.304095,5.27,81
"3,4-Dichlorobiphenyl",2,-3.37503999,-3.10833062,-2.09526735,-2.17160978,5.12489581,7335.512128,18.88874271,-77.54434398,170.535367,0.30169,0.001532,0.151611,-0.151611,0.03829,0.00147,55.24334,740.61529,0.300158,5.23,79.5
"3,4prime-Dichlorobiphenyl",2,-3.37504073,-3.10832741,-2.09547474,-2.17212759,5.15628383,7335.701089,18.85981367,-77.78839125,170.5697235,0.302765,0.003393,0.153079,-0.153079,0.03914,0.00153,55.31604,740.65343,0.299372,5.15,82
"4,4prime-Dichlorobiphenyl",2,-3.37503929,-3.10832717,-2.07933185,-2.12400985,2.97018129,7335.696206,19.63885185,-60.51939164,152.499661,0.297687,0.002783,0.150235,-0.150235,0.03827,0.00146,55.31261,740.65411,0.294904,5.23,81.4
"2,2prime,3-Trichlorobiphenyl",3,-3.52732854,-3.19578509,-2.14313005,-2.20344181,4.36795152,9515.298642,20.94650308,-72.92212425,164.2199363,0.316303,-0.009841,0.153231,-0.153231,0.036,0.0013,40.58878,844.12292,0.326144,5.12,79.9
"2,2prime,4-Trichlorobiphenyl",3,-3.52732776,-3.19578309,-2.14133392,-2.1969144,4.13831754,9515.525733,20.39355704,-71.83426614,165.3396919,0.31557,-0.006663,0.154453,-0.154453,0.03702,0.00137,40.67061,844.17128,0.322233,5.39,81.6
"2,2prime,5-Trichlorobiphenyl",3,-3.52732746,-3.19578247,-2.14330887,-2.20388494,4.40010637,9515.500686,20.86142325,-73.20708728,164.435106,0.313044,-0.006888,0.153078,-0.153078,0.03662,0.00134,40.66656,844.17104,0.319932,5.33,80.2
"2,2prime,6-Trichlorobiphenyl",3,-3.52732977,-3.19578624,-2.14310746,-2.20341798,4.36431741,9515.278867,21.08764683,-72.88163922,163.8863863,0.316958,-0.011767,0.152595,-0.152595,0.03542,0.00125,40.5862,844.11483,0.328725,5.04,81
"2,3,3prime-Trichlorobiphenyl",3,-3.52732851,-3.1957853,-2.14296619,-2.2013608,4.40636108,9515.445446,20.10192692,-73.75798017,168.3617765,0.315964,0.001104,0.158534,-0.158534,0.03991,0.00159,40.62538,844.15274,0.31486,5.6,93.7
"2,3,4prime-Trichlorobiphenyl",3,-3.52732796,-3.19578468,-2.14418436,-2.20585198,4.56946133,9515.427448,21.05407227,-74.73160949,166.398345,0.310154,0.001372,0.155763,-0.155763,0.03929,0.00154,40.61676,844.14925,0.308782,5.29,81
"2,3,4-Trichlorobiphenyl",3,-3.52732919,-3.19578878,-2.14382906,-2.20493036,4.51034775,9515.236587,21.21792136,-74.28183002,165.856837,0.309748,-0.000303,0.154722,-0.154722,0.03861,0.00149,40.53959,844.10799,0.310051,5.68,88.6
"2,3,6-Trichlorobiphenyl",3,-3.52732795,-3.19578706,-2.1426481,-2.20188702,4.31693398,9515.324123,22.39873738,-72.65867227,161.2430067,0.31645,-0.009291,0.15358,-0.15358,0.03621,0.00131,40.5817,844.13283,0.325741,5.44,89.2
"2,3prime,4prime-Trichlorobiphenyl",3,-3.5273288,-3.1957861,-2.14461179,-2.20614524,4.66089565,9515.444325,19.75828102,-75.4540768,170.4039162,0.308635,0.001829,0.155232,-0.155232,0.03927,0.00154,40.62284,844.15324,0.306806,5.71,88.3
"2,3prime,4-Trichlorobiphenyl",3,-3.22528362,-2.96500893,-2.14462324,-2.20628647,4.65979813,9515.6454,19.84783696,-75.36941633,169.8209056,0.310856,0.003324,0.15709,-0.15709,0.04012,0.00161,40.69695,844.19576,0.307532,5.54,93.2
"2,3prime,5prime-Trichlorobiphenyl",3,-3.54773051,-3.19136688,-2.14428334,-2.20586223,4.58384595,9515.649336,19.84633357,-75.03280391,169.4610405,0.315843,0.003817,0.15983,-0.15983,0.04094,0.00168,40.69915,844.19595,0.312026,5.71,83.3
"2,3prime,5-Trichlorobiphenyl",3,-3.52732726,-3.1957826,-2.14427488,-2.20591706,4.58396467,9515.631744,20.27075128,-74.71772822,167.8875673,0.311311,0.004237,0.157774,-0.157774,0.04053,0.00164,40.69662,844.19674,0.307074,5.65,89.4
"2,4,4prime-Trichlorobiphenyl",3,-3.5273283,-3.19578336,-2.14492479,-2.20780905,4.69137095,9515.633487,20.77632299,-75.47095602,167.4232605,0.305573,0.00339,0.154482,-0.154482,0.03949,0.00156,40.69007,844.19296,0.302183,5.71,89.3
"2,4prime,5-Trichlorobiphenyl",3,-3.52732708,-3.1957824,-2.14447397,-2.20673906,4.61497926,9515.616439,21.07779979,-75.01444197,166.3854901,0.3071,0.004325,0.155713,-0.155713,0.04004,0.0016,40.68855,844.19346,0.302775,5.68,91.2
"2,4prime,6-Trichlorobiphenyl",3,-3.52732815,-3.19578403,-2.14294659,-2.2027308,4.36453819,9515.582262,22.33882838,-72.93317957,161.255774,0.316216,-0.00843,0.153893,-0.153893,0.03648,0.00133,40.66872,844.17797,0.324646,5.24,82.9
"2,2prime,3,3prime-Tetrachlorobiphenyl",4,-3.63985704,-3.25795958,-2.18643013,-2.23109435,3.74885772,11695.07044,20.61237059,-69.9793224,167.3085976,0.317495,-0.005878,0.155808,-0.155808,0.03754,0.00141,25.91035,947.63595,0.323373,5.67,94.7
"2,2prime,3,4prime-Tetrachlorobiphenyl",4,-3.63985783,-3.2579589,-2.19028976,-2.24429319,4.35064275,11695.2987,22.04885525,-73.65187444,165.3969102,0.318272,-0.000933,0.158669,-0.158669,0.03944,0.00156,25.99256,947.68401,0.319205,5.72,95.2
"2,2prime,3,4-Tetrachlorobiphenyl",4,-3.63985808,-3.25796063,-2.19036932,-2.24456957,4.36301245,11695.08684,22.01539609,-73.6336017,165.7189556,0.318436,-0.002414,0.158011,-0.158011,0.03891,0.00151,25.913,947.63845,0.32085,5.79,90.5
"2,2prime,3,5prime-Tetrachlorobiphenyl",4,-3.63985638,-3.25795782,-2.1894938,-2.24112368,4.2418563,11695.27001,21.24086862,-72.44497428,166.4022422,0.315247,-0.001135,0.157056,-0.157056,0.03898,0.00152,25.98919,947.68446,0.316382,5.73,84.4
"2,2prime,3,6prime-Tetrachlorobiphenyl",4,-3.63985742,-3.25795879,-2.18929839,-2.24054545,4.20806049,11695.04431,21.23300906,-72.25859037,166.5816928,0.316481,-0.006129,0.155176,-0.155176,0.03732,0.00139,25.90769,947.62653,0.32261,4.84,85.9
"2,2prime,3,6-Tetrachlorobiphenyl",4,-3.63985718,-3.25795914,-2.19023248,-2.24417243,4.34027599,11695.01832,22.10096735,-73.53747524,165.5896906,0.314611,-0.005206,0.154703,-0.154703,0.03742,0.0014,25.90489,947.62832,0.319817,4.84,80.5
"2,2prime,4,4prime-Tetrachlorobiphenyl",4,-3.63985824,-3.25795781,-2.18815131,-2.23649294,4.04346311,11695.52402,21.29538199,-72.20078431,167.0179323,0.317574,0.001924,0.159749,-0.159749,0.04042,0.00163,26.07476,947.73262,0.31565,5.94,90.3
"2,2prime,4,5prime-Tetrachlorobiphenyl",4,-3.63985666,-3.25795688,-2.19042529,-2.24458363,4.38082317,11695.49482,21.86746962,-73.97575129,166.0880929,0.315196,0.001706,0.158451,-0.158451,0.04004,0.0016,26.07103,947.7327,0.31349,5.87,87.4
"2,2prime,4,5-Tetrachlorobiphenyl",4,-3.63985685,-3.25795859,-2.19042696,-2.24462525,4.37902501,11695.31029,21.87574426,-73.84215414,166.1007926,0.315037,0.001058,0.158048,-0.158048,0.03978,0.00158,25.99886,947.69279,0.313979,5.69,90.8
"2,2prime,4,6prime-Tetrachlorobiphenyl",4,-3.63985841,-3.25795823,-2.19065493,-2.24554352,4.4086869,11695.28311,22.11858122,-74.10928328,165.5097849,0.318707,-0.00332,0.157694,-0.157694,0.03861,0.00149,25.98989,947.67602,0.322027,5.51,86.5
"2,2prime,4,6-Tetrachlorobiphenyl",4,-3.63985729,-3.25795847,-2.19040598,-2.2446918,4.37027979,11695.27399,22.08740111,-73.64797221,165.444819,0.321222,-0.002051,0.159586,-0.159586,0.03939,0.00155,25.98936,947.67806,0.323273,5.75,81.2
"2,2prime,5,5prime-Tetrachlorobiphenyl",4,-3.63985602,-3.2579563,-2.18695507,-2.23264552,3.84617112,11695.47214,21.31894383,-70.9940322,166.3544905,0.31429,-0.001252,0.156519,-0.156519,0.03882,0.00151,26.06804,947.73345,0.315542,5.79,84.5
"2,2prime,5,6prime-Tetrachlorobiphenyl",4,-3.63985827,-3.25795828,-2.1889752,-2.23957321,4.15370447,11695.26357,21.78258281,-72.19325364,165.227467,0.314269,-0.003508,0.15538,-0.15538,0.03799,0.00144,25.98902,947.67761,0.317777,5.55,84.9
"2,2prime,6,6prime-Tetrachlorobiphenyl",4,-3.63985733,-3.25795721,-2.18698412,-2.23364017,3.80384906,11694.95671,20.45048083,-70.76772085,167.9463202,0.318155,-0.010682,0.153737,-0.153737,0.03594,0.00129,25.89401,947.60383,0.328837,5.24,79.4
"2,3,3prime,4-Tetrachlorobiphenyl",4,-3.63985783,-3.25796087,-2.19069343,-2.24448642,4.46604883,11695.23905,21.17072174,-74.85370568,169.8755452,0.314519,0.007658,0.161089,-0.161089,0.04228,0.00179,25.9504,947.66888,0.306861,6.1,102.8
"2,3,4,4prime-Tetrachlorobiphenyl",4,-3.63985788,-3.2579607,-2.19122143,-2.24651413,4.54767661,11695.22274,22.16573297,-75.31055838,167.6759879,0.308977,-0.001323,0.153827,-0.153827,0.03813,0.00145,25.9417,947.66533,0.3103,6.24,98.6
"2,3,4prime,5-Tetrachlorobiphenyl",4,-3.63985721,-3.25795902,-2.19089171,-2.24571672,4.4855991,11695.41439,22.41165416,-75.04550027,166.8161899,0.312165,0.010664,0.161415,-0.161415,0.04321,0.00187,26.01938,947.71246,0.301501,6.1,94.1
"2,3,4prime,6-Tetrachlorobiphenyl",4,-3.63985728,-3.25795932,-2.19001333,-2.2433469,4.32734245,11695.32217,23.41626622,-73.61829784,162.8301467,0.315662,-0.001791,0.156935,-0.156935,0.03879,0.0015,25.98706,947.69192,0.317453,5.76,91.7
"2,3,5,6-Tetrachlorobiphenyl",4,-3.63985644,-3.25796217,-2.18947985,-2.24189871,4.22911502,11695.0775,23.57987827,-73.00024884,162.5666152,0.317335,-0.001678,0.157828,-0.157828,0.03904,0.00152,25.90012,947.6482,0.319013,5.96,97.8
"2,3prime,4,4prime-Tetrachlorobiphenyl",4,-3.63985737,-3.2579587,-2.1919657,-2.24783153,4.70249866,11695.43728,20.74529206,-76.47763717,172.1000475,0.309279,0.010049,0.159664,-0.159664,0.0426,0.00181,26.02608,947.71436,0.29923,5.98,93
"2,3prime,4,5-Tetrachlorobiphenyl",4,-3.63985721,-3.25795896,-2.19155276,-2.24730669,4.6048072,11695.44175,21.17799232,-75.72448984,170.0505039,0.312071,0.010915,0.161493,-0.161493,0.0433,0.00187,26.02825,947.71858,0.301156,6.32,96.6
"2,3prime,4,6-Tetrachlorobiphenyl",4,-3.63986014,-3.25796198,-2.18986655,-2.2426414,4.30170251,11695.5705,22.41838777,-73.24336058,164.2965046,0.321704,0.000913,0.161309,-0.161309,0.04056,0.00164,26.07345,947.74146,0.320791,6.03,90.3
"2,3prime,4prime,5prime-Tetrachlorobiphenyl",4,-3.63985728,-3.25796037,-2.19158018,-2.24724847,4.61089176,11695.22789,20.78396819,-75.98832661,171.6948526,0.312365,0.008879,0.160622,-0.160622,0.04251,0.00181,25.94403,947.66794,0.303486,5.98,92.4
"2,3prime,4prime,6-Tetrachlorobiphenyl",4,-3.54047482,-3.19602982,-2.19027831,-2.24405738,4.3634942,11695.37392,22.30392731,-73.66211006,164.920145,0.317238,-0.009867,0.153686,-0.153686,0.0361,0.0013,26.0022,947.69828,0.327105,5.76,92.8
"2,4,4prime,5-Tetrachlorobiphenyl",4,-3.63985713,-3.25795895,-2.19157316,-2.24751246,4.61144447,11695.43506,22.05347767,-75.80522688,168.1527683,0.307573,0.010879,0.159226,-0.159226,0.04273,0.00183,26.02069,947.71564,0.296694,6.1,94.4
"2,4,4prime,6-Tetrachlorobiphenyl",4,-3.63985788,-3.2579592,-2.19023035,-2.24394009,4.3665329,11695.57257,23.33804267,-73.7316875,162.807453,0.321332,-0.006418,0.157457,-0.157457,0.03782,0.00143,26.07228,947.74159,0.32775,6.03,92.4
"2,2prime,3,3prime,6-Pentachlorobiphenyl",5,-3.72914795,-3.30623756,-2.23193681,-2.27835537,4.1863772,13874.78063,22.24096911,-73.09918057,168.4088102,0.315831,0.000114,0.157972,-0.157972,0.03952,0.00156,11.22441,1051.13979,0.315717,5.6,89.2
"2,2prime,3,4,4prime-Pentachlorobiphenyl",5,-3.72914768,-3.30623761,-2.23320703,-2.28289604,4.40059839,13875.08235,23.01820571,-74.66038258,167.3613914,0.320421,0.005817,0.163119,-0.163119,0.04229,0.00179,11.31735,1051.19997,0.314604,6.18,100.2
"2,2prime,3,4,5-Pentachlorobiphenyl",5,-3.72914913,-3.30624075,-2.23267907,-2.2812788,4.30228294,13874.84998,23.07890773,-74.14628918,167.3450617,0.317883,0.005106,0.161494,-0.161494,0.04169,0.00174,11.23494,1051.15461,0.312777,6.38,93.1
"2,2prime,3,4,5prime-Pentachlorobiphenyl",5,-3.72914736,-3.30623729,-2.23322724,-2.28282122,4.40262218,13875.06534,21.79648336,-74.63270806,169.9550736,0.317491,0.005705,0.161598,-0.161598,0.04188,0.00175,11.31428,1051.20028,0.311786,6.23,99.6
"2,2prime,3,4,6-Pentachlorobiphenyl",5,-3.72914847,-3.30623905,-2.23275942,-2.28152055,4.31767014,13874.80452,23.15353137,-74.20359793,167.1856464,0.318257,0.003114,0.160685,-0.160685,0.04097,0.00168,11.22799,1051.14516,0.315143,6.5,89
"2,2prime,3,4,6prime-Pentachlorobiphenyl",5,-3.72914718,-3.30623739,-2.23335157,-2.28330162,4.42151715,13874.82506,21.99405263,-74.56845909,169.5463646,0.320288,-0.002507,0.158891,-0.158891,0.03911,0.00153,11.23115,1051.14093,0.322795,5.6,88.6
"2,2prime,3,4prime,5-Pentachlorobiphenyl",5,-3.72914731,-3.30623645,-2.23299085,-2.28232521,4.35740265,13875.27176,23.11142997,-74.58998871,167.1139448,0.318483,0.007244,0.162864,-0.162864,0.04261,0.00182,11.39391,1051.24779,0.311239,6.32,96
"2,2prime,3,4prime,5prime-Pentachlorobiphenyl",5,-3.72914708,-3.30623698,-2.2327641,-2.28110345,4.33063547,13875.07663,22.0830543,-73.89932732,168.797409,0.317677,0.006335,0.162006,-0.162006,0.04215,0.00178,11.32233,1051.20669,0.311342,6.3,96.3
"2,2prime,3,4prime,6-Pentachlorobiphenyl",5,-3.7291473,-3.30623629,-2.23301744,-2.28238169,4.3638865,13875.02057,23.16947108,-74.59224525,167.1296407,0.317383,0.002647,0.160015,-0.160015,0.04068,0.00165,11.30775,1051.18948,0.314736,5.87,89.2
"2,2prime,3,4prime,6prime-Pentachlorobiphenyl",5,-3.7291499,-3.30623821,-2.23268663,-2.28090596,4.31443098,13875.02647,22.1154576,-73.92220498,168.7462183,0.321984,0.002968,0.162476,-0.162476,0.04138,0.00171,11.30823,1051.18915,0.319016,6.04,96.3
"2,2prime,3,5,5prime-Pentachlorobiphenyl",5,-3.72914652,-3.30623581,-2.2322034,-2.27959365,4.21571479,13875.24555,22.22687538,-73.75551628,168.6768152,0.316153,0.007027,0.16159,-0.16159,0.04223,0.00178,11.3904,1051.24861,0.309126,6.32,97
"2,2prime,3,5,6-Pentachlorobiphenyl",5,-3.72914893,-3.30623994,-2.23245648,-2.28068759,4.25708071,13874.77244,23.28107655,-74.00765592,166.9308438,0.315649,0.00207,0.158859,-0.158859,0.04024,0.00162,11.22197,1051.14319,0.313579,6.06,88.5
"2,2prime,3,5prime,6-Pentachlorobiphenyl",5,-3.72914769,-3.30623643,-2.23086098,-2.27489455,3.99218152,13874.99007,22.49336913,-72.40316032,167.4162278,0.314055,0.002536,0.158295,-0.158295,0.04022,0.00162,11.30653,1051.19108,0.311519,5.92,92.3
"2,2prime,4,4prime,5-Pentachlorobiphenyl",5,-3.72914758,-3.30623651,-2.233032,-2.28215519,4.37830423,13875.30721,22.83255951,-74.72561483,167.8665894,0.316995,0.008877,0.162936,-0.162936,0.04308,0.00186,11.40304,1051.25421,0.308118,6.41,102.3
"2,2prime,4,4prime,6-Pentachlorobiphenyl",5,-3.72914819,-3.30623619,-2.23324826,-2.28302781,4.40957176,13875.26522,23.09109752,-74.84040862,167.1082938,0.323441,0.00547,0.164455,-0.164455,0.04253,0.00181,11.39311,1051.23907,0.317971,6.23,92.1
